Vastus medialis (mV)	Time (ms)
-0.0046	0.001
-0.0015	0.002
-0.0015	0.003
-0.0038	0.004
-0.0068	0.005
-0.0105	0.006
-0.0075	0.007
-0.003	0.008
0.0007	0.009
0.0022	0.01
0.0045	0.011
0.009	0.012
0.012	0.013
0.0097	0.014
0.0007	0.015
-0.0015	0.016
-0.0046	0.017
-0.0068	0.018
-0.0046	0.019
0.0	0.02
0.006	0.021
0.0007	0.022
-0.0046	0.023
-0.0098	0.024
-0.0218	0.025
-0.0195	0.026
-0.0053	0.027
0.0052	0.028
0.0142	0.029
0.0187	0.03
0.0172	0.031
0.0172	0.032
0.0165	0.033
0.0127	0.034
-0.0008	0.035
-0.0173	0.036
-0.0203	0.037
-0.0113	0.038
-0.0105	0.039
-0.006	0.04
0.0075	0.041
0.0165	0.042
0.0157	0.043
0.0127	0.044
0.012	0.045
0.0037	0.046
-0.0015	0.047
-0.0038	0.048
-0.0046	0.049
-0.0008	0.05
0.0007	0.051
0.0052	0.052
0.0045	0.053
0.0007	0.054
-0.0015	0.055
-0.006	0.056
-0.0105	0.057
-0.0128	0.058
-0.0128	0.059
-0.0083	0.06
-0.0015	0.061
0.0	0.062
-0.0008	0.063
0.0007	0.064
0.0015	0.065
0.003	0.066
0.0015	0.067
-0.0008	0.068
-0.0008	0.069
-0.0046	0.07
-0.0046	0.071
-0.006	0.072
-0.0083	0.073
-0.0053	0.074
-0.0008	0.075
0.0037	0.076
0.006	0.077
0.0082	0.078
0.0097	0.079
0.009	0.08
0.006	0.081
0.0052	0.082
0.0015	0.083
0.0007	0.084
0.0	0.085
0.0007	0.086
0.0	0.087
-0.003	0.088
-0.0046	0.089
-0.0053	0.09
-0.003	0.091
-0.003	0.092
-0.0015	0.093
-0.0008	0.094
-0.003	0.095
-0.0038	0.096
-0.0015	0.097
0.0007	0.098
0.0007	0.099
0.0007	0.1
0.0015	0.101
0.0037	0.102
0.003	0.103
-0.0008	0.104
-0.0015	0.105
0.0007	0.106
0.0007	0.107
-0.0015	0.108
-0.0008	0.109
-0.0008	0.11
0.0007	0.111
0.003	0.112
0.0015	0.113
0.0015	0.114
0.0	0.115
-0.0015	0.116
-0.0008	0.117
-0.0015	0.118
-0.0023	0.119
-0.0008	0.12
0.0015	0.121
0.0045	0.122
0.0037	0.123
0.0015	0.124
0.0045	0.125
0.003	0.126
0.0015	0.127
0.0015	0.128
0.0015	0.129
0.003	0.13
0.0	0.131
-0.0015	0.132
0.0015	0.133
-0.0015	0.134
-0.0023	0.135
-0.0008	0.136
-0.0015	0.137
-0.003	0.138
-0.0046	0.139
-0.0046	0.14
-0.0038	0.141
-0.003	0.142
-0.003	0.143
0.0	0.144
0.0015	0.145
0.0007	0.146
-0.0015	0.147
-0.0053	0.148
-0.0046	0.149
-0.0053	0.15
-0.0068	0.151
-0.0068	0.152
-0.0113	0.153
-0.0203	0.154
-0.0218	0.155
-0.0128	0.156
-0.0008	0.157
0.0127	0.158
0.018	0.159
0.0217	0.16
0.0255	0.161
0.0217	0.162
0.0285	0.163
0.0307	0.164
0.0135	0.165
-0.0008	0.166
-0.0068	0.167
-0.0068	0.168
-0.0053	0.169
-0.0075	0.17
-0.0068	0.171
-0.0053	0.172
-0.003	0.173
-0.0015	0.174
-0.0053	0.175
-0.0083	0.176
-0.0083	0.177
-0.0083	0.178
-0.0068	0.179
-0.006	0.18
-0.0038	0.181
-0.0008	0.182
-0.0053	0.183
-0.006	0.184
-0.006	0.185
-0.006	0.186
-0.0038	0.187
-0.0023	0.188
0.0015	0.189
0.006	0.19
0.0097	0.191
0.012	0.192
0.0112	0.193
0.009	0.194
0.0082	0.195
0.0082	0.196
0.0052	0.197
0.003	0.198
0.0	0.199
-0.0008	0.2
-0.003	0.201
-0.003	0.202
-0.0008	0.203
-0.0023	0.204
-0.0008	0.205
0.0007	0.206
-0.0015	0.207
-0.0015	0.208
-0.003	0.209
-0.0015	0.21
0.0007	0.211
0.0015	0.212
0.0007	0.213
0.0	0.214
-0.0015	0.215
0.0	0.216
0.0022	0.217
-0.0008	0.218
-0.0015	0.219
0.0015	0.22
0.0015	0.221
-0.0023	0.222
-0.0023	0.223
-0.0015	0.224
-0.0038	0.225
-0.003	0.226
-0.003	0.227
0.0007	0.228
0.0022	0.229
0.0015	0.23
0.0007	0.231
-0.003	0.232
-0.0015	0.233
-0.0008	0.234
-0.0008	0.235
-0.0008	0.236
-0.0008	0.237
-0.0015	0.238
-0.003	0.239
-0.0015	0.24
-0.0008	0.241
-0.0008	0.242
0.0015	0.243
0.003	0.244
0.0015	0.245
0.0015	0.246
0.0015	0.247
0.0	0.248
-0.0008	0.249
-0.0015	0.25
-0.0023	0.251
-0.0015	0.252
0.0007	0.253
0.0007	0.254
-0.0015	0.255
-0.003	0.256
-0.0008	0.257
0.0007	0.258
0.0007	0.259
-0.0008	0.26
-0.0023	0.261
-0.0015	0.262
-0.0015	0.263
0.0015	0.264
0.0045	0.265
0.006	0.266
0.0022	0.267
-0.0015	0.268
0.0015	0.269
0.0052	0.27
0.0015	0.271
0.0007	0.272
0.0007	0.273
-0.0015	0.274
-0.0015	0.275
-0.0038	0.276
-0.003	0.277
-0.003	0.278
-0.0023	0.279
0.0007	0.28
-0.0008	0.281
0.0015	0.282
0.003	0.283
-0.0008	0.284
-0.0023	0.285
-0.0008	0.286
0.0007	0.287
-0.0023	0.288
-0.003	0.289
-0.003	0.29
-0.003	0.291
0.0	0.292
0.003	0.293
0.003	0.294
0.0015	0.295
0.003	0.296
0.003	0.297
0.0037	0.298
0.0022	0.299
-0.0008	0.3
-0.0015	0.301
-0.003	0.302
-0.0015	0.303
-0.0015	0.304
-0.0038	0.305
-0.0046	0.306
-0.0046	0.307
-0.003	0.308
-0.0008	0.309
0.003	0.31
0.0052	0.311
0.0052	0.312
0.006	0.313
0.0052	0.314
0.003	0.315
0.0022	0.316
0.0015	0.317
-0.0015	0.318
-0.0046	0.319
-0.0038	0.32
-0.0038	0.321
-0.0023	0.322
0.0015	0.323
0.0007	0.324
0.0015	0.325
0.0007	0.326
-0.0008	0.327
0.0007	0.328
-0.0008	0.329
0.0015	0.33
0.0037	0.331
0.0045	0.332
0.0015	0.333
-0.0015	0.334
-0.0015	0.335
-0.0015	0.336
-0.0008	0.337
-0.0038	0.338
-0.0046	0.339
-0.003	0.34
-0.0015	0.341
0.0007	0.342
0.0	0.343
0.0015	0.344
0.0037	0.345
0.003	0.346
0.0015	0.347
-0.0015	0.348
-0.0015	0.349
0.0	0.35
-0.0008	0.351
-0.0008	0.352
0.0	0.353
-0.0015	0.354
-0.0015	0.355
-0.0023	0.356
-0.0038	0.357
-0.006	0.358
-0.0053	0.359
-0.0015	0.36
-0.0023	0.361
-0.0015	0.362
0.0015	0.363
0.0007	0.364
0.0015	0.365
0.0007	0.366
-0.0008	0.367
0.0	0.368
0.0007	0.369
0.0007	0.37
0.0007	0.371
0.003	0.372
0.0037	0.373
0.003	0.374
0.0022	0.375
-0.0008	0.376
-0.003	0.377
-0.0015	0.378
0.0007	0.379
-0.0008	0.38
0.0015	0.381
0.003	0.382
0.003	0.383
0.0037	0.384
0.0045	0.385
0.0067	0.386
0.0052	0.387
0.003	0.388
0.003	0.389
0.0	0.39
-0.003	0.391
-0.003	0.392
-0.0053	0.393
-0.006	0.394
-0.0038	0.395
-0.0015	0.396
-0.0008	0.397
-0.0008	0.398
-0.0008	0.399
-0.0008	0.4
-0.0008	0.401
-0.0008	0.402
0.0007	0.403
-0.0008	0.404
-0.0015	0.405
0.0007	0.406
0.003	0.407
0.0045	0.408
0.003	0.409
0.0007	0.41
-0.003	0.411
-0.0038	0.412
-0.003	0.413
0.0	0.414
0.0007	0.415
0.0007	0.416
0.0	0.417
-0.0015	0.418
0.0022	0.419
0.0007	0.42
-0.0008	0.421
-0.0008	0.422
0.0007	0.423
0.003	0.424
0.0007	0.425
-0.0008	0.426
-0.0015	0.427
-0.0015	0.428
-0.0008	0.429
-0.0008	0.43
-0.0015	0.431
0.0007	0.432
0.0022	0.433
0.0015	0.434
0.0	0.435
-0.0008	0.436
0.0007	0.437
-0.0008	0.438
-0.0023	0.439
-0.003	0.44
-0.0046	0.441
-0.0046	0.442
-0.0015	0.443
0.0	0.444
0.0015	0.445
0.0037	0.446
0.0015	0.447
0.003	0.448
0.0015	0.449
-0.0008	0.45
0.0	0.451
0.0022	0.452
0.003	0.453
-0.0008	0.454
-0.0008	0.455
0.0007	0.456
-0.0008	0.457
-0.0015	0.458
-0.0015	0.459
-0.0015	0.46
-0.0053	0.461
-0.0068	0.462
-0.0053	0.463
-0.0068	0.464
-0.0068	0.465
-0.0008	0.466
0.0007	0.467
0.0015	0.468
0.003	0.469
0.0015	0.47
0.003	0.471
0.0037	0.472
0.003	0.473
0.0037	0.474
0.0045	0.475
0.003	0.476
0.0015	0.477
0.0015	0.478
0.0022	0.479
0.003	0.48
0.003	0.481
0.003	0.482
-0.0008	0.483
0.0	0.484
-0.0008	0.485
-0.0023	0.486
-0.0023	0.487
-0.0046	0.488
-0.0046	0.489
-0.0053	0.49
-0.003	0.491
-0.0015	0.492
-0.0015	0.493
0.0015	0.494
0.0007	0.495
0.0007	0.496
0.0007	0.497
-0.0008	0.498
-0.0008	0.499
-0.0015	0.5
-0.0008	0.501
0.003	0.502
0.003	0.503
0.0045	0.504
0.0037	0.505
0.0045	0.506
0.0037	0.507
0.0007	0.508
0.0015	0.509
0.0037	0.51
0.0037	0.511
0.003	0.512
-0.0008	0.513
0.0	0.514
0.0	0.515
-0.0015	0.516
-0.0023	0.517
-0.0015	0.518
-0.0015	0.519
-0.0008	0.52
-0.0008	0.521
-0.003	0.522
-0.0015	0.523
-0.003	0.524
-0.0053	0.525
-0.0053	0.526
-0.0046	0.527
-0.0046	0.528
-0.0046	0.529
-0.003	0.53
-0.0015	0.531
-0.0008	0.532
0.0007	0.533
0.0007	0.534
0.0007	0.535
0.0	0.536
0.0007	0.537
0.0015	0.538
0.0007	0.539
-0.0046	0.54
-0.0038	0.541
-0.0015	0.542
-0.0023	0.543
-0.0015	0.544
-0.0015	0.545
-0.0008	0.546
-0.0008	0.547
0.0022	0.548
0.0015	0.549
0.0015	0.55
0.0015	0.551
0.0007	0.552
0.003	0.553
0.0007	0.554
0.0	0.555
0.0015	0.556
0.003	0.557
0.0015	0.558
-0.0015	0.559
-0.0008	0.56
-0.0008	0.561
-0.0015	0.562
0.0007	0.563
0.0015	0.564
0.0015	0.565
-0.0008	0.566
0.0007	0.567
0.0015	0.568
0.0015	0.569
0.0045	0.57
0.0045	0.571
0.0052	0.572
0.0037	0.573
0.0007	0.574
0.0007	0.575
0.0007	0.576
0.0015	0.577
0.0015	0.578
0.0007	0.579
-0.0008	0.58
-0.0015	0.581
0.0	0.582
0.0	0.583
-0.0015	0.584
-0.003	0.585
-0.003	0.586
-0.0008	0.587
-0.0015	0.588
-0.0008	0.589
0.0	0.59
0.0	0.591
0.0	0.592
0.0	0.593
-0.0008	0.594
-0.0015	0.595
-0.0023	0.596
-0.0015	0.597
0.0015	0.598
0.0037	0.599
0.0015	0.6
0.0007	0.601
-0.0008	0.602
-0.0015	0.603
-0.0023	0.604
-0.0046	0.605
-0.0015	0.606
0.0007	0.607
-0.0008	0.608
0.0007	0.609
0.0	0.61
-0.0008	0.611
0.0	0.612
-0.0008	0.613
-0.0015	0.614
-0.0008	0.615
0.0007	0.616
0.003	0.617
0.0007	0.618
-0.0015	0.619
-0.0015	0.62
-0.0008	0.621
-0.0008	0.622
-0.0015	0.623
-0.0015	0.624
-0.0015	0.625
-0.003	0.626
-0.0023	0.627
-0.0015	0.628
0.0022	0.629
0.0045	0.63
0.0052	0.631
0.0045	0.632
0.0015	0.633
0.0007	0.634
0.0007	0.635
-0.0015	0.636
-0.0038	0.637
-0.003	0.638
-0.0023	0.639
-0.0008	0.64
-0.0015	0.641
-0.0015	0.642
0.0015	0.643
0.0022	0.644
0.003	0.645
0.0022	0.646
0.0007	0.647
0.0015	0.648
0.0	0.649
-0.003	0.65
-0.003	0.651
-0.003	0.652
-0.003	0.653
-0.003	0.654
-0.0015	0.655
0.0	0.656
0.0007	0.657
-0.003	0.658
-0.0046	0.659
-0.0015	0.66
0.0007	0.661
-0.0008	0.662
-0.0023	0.663
-0.003	0.664
-0.0023	0.665
-0.0023	0.666
-0.0023	0.667
-0.0015	0.668
-0.0008	0.669
-0.0008	0.67
0.0007	0.671
0.0015	0.672
0.0015	0.673
0.0022	0.674
0.0022	0.675
0.0022	0.676
0.0052	0.677
0.0052	0.678
0.0045	0.679
0.003	0.68
0.003	0.681
0.0007	0.682
-0.0015	0.683
-0.0015	0.684
-0.0008	0.685
-0.0015	0.686
-0.003	0.687
-0.003	0.688
-0.0023	0.689
-0.0023	0.69
-0.0008	0.691
-0.0008	0.692
0.0015	0.693
0.0045	0.694
0.0037	0.695
0.0052	0.696
0.0045	0.697
0.0015	0.698
0.0	0.699
0.0007	0.7
0.0022	0.701
0.0022	0.702
0.0015	0.703
0.0015	0.704
0.0015	0.705
-0.0008	0.706
-0.0008	0.707
0.0007	0.708
0.0	0.709
0.0007	0.71
-0.0008	0.711
