,MDF_st,MDF_sw
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_1_clean_EMG,51.08556832694764,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_2_clean_EMG,57.73955773955774,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_3_clean_EMG,53.291536050156736,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_1_clean_EMG,58.76288659793815,59.5703125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_2_clean_EMG,53.7109375,53.7109375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_3_clean_EMG,53.7109375,59.5703125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_4_clean_EMG,52.734375,54.6875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_11/filtered_Stance_1_clean_EMG,57.6171875,37.109375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_11/filtered_Stance_2_clean_EMG,56.640625,47.8515625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_1_clean_EMG,36.1328125,41.015625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_2_clean_EMG,43.9453125,47.8515625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_3_clean_EMG,41.015625,54.6875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_1_clean_EMG,44.26229508196722,43.9453125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_2_clean_EMG,45.523520485584214,41.015625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_3_clean_EMG,46.434494195688224,41.9921875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_4_clean_EMG,43.895747599451305,41.015625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_1_clean_EMG,58.59375,46.875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_2_clean_EMG,50.78125,46.875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_3_clean_EMG,50.78125,49.8046875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_1_clean_EMG,51.08556832694764,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_2_clean_EMG,57.73955773955774,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_3_clean_EMG,53.291536050156736,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_1_clean_EMG,48.701298701298704,50.78125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_2_clean_EMG,38.860103626943,53.7109375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_3_clean_EMG,45.45454545454546,46.875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_1_clean_EMG,58.59375,59.5703125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_2_clean_EMG,62.5,66.40625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_3_clean_EMG,58.59375,57.6171875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_1_clean_EMG,53.51833498513379,49.8046875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_2_clean_EMG,57.04697986577181,43.9453125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_3_clean_EMG,45.996592844974444,43.9453125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_1_clean_EMG,43.0379746835443,64.453125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_2_clean_EMG,41.666666666666664,64.453125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_3_clean_EMG,46.27539503386005,59.5703125
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_4_clean_EMG,48.048048048048045,52.734375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_5_clean_EMG,41.91616766467065,62.5
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_1_clean_EMG,38.0859375,60.546875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_2_clean_EMG,50.78125,61.5234375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_3_clean_EMG,46.029919447640964,58.59375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_4_clean_EMG,44.17670682730924,58.59375
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_1_clean_EMG,52.734375,47.8515625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_2_clean_EMG,53.7109375,39.0625
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_3_clean_EMG,64.453125,41.9921875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_1_clean_EMG,41.015625,44.921875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_2_clean_EMG,46.58385093167702,44.921875
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_3_clean_EMG,48.370136698212406,50.78125
