,TP_st,TP_sw
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_1_clean_EMG,-1335520.3390833337,-2701821.6867692578
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_2_clean_EMG,-1434546.6338838644,-2748273.5205260306
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_1/filtered_Stance_3_clean_EMG,-1734129.9754868404,-2711657.149000729
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_1_clean_EMG,-1812098.2734429757,-2960009.308099319
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_2_clean_EMG,-2221568.685662731,-2916169.2635902525
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_3_clean_EMG,-2467398.026565536,-2881949.166060542
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_10/filtered_Stance_4_clean_EMG,-2783560.359953885,-2792118.9769770103
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_11/filtered_Stance_1_clean_EMG,-2281244.9221897866,-2530247.6937344964
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_11/filtered_Stance_2_clean_EMG,-2324038.892103876,-2420122.60808099
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_1_clean_EMG,-5202369.714852519,-2024885.8738713416
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_2_clean_EMG,-3578732.628646473,-1845357.263444051
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_12/filtered_Stance_3_clean_EMG,-3282292.4116230826,-1928902.4454861525
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_1_clean_EMG,-1028924.0640875231,-2979056.1795269554
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_2_clean_EMG,-1180796.2946384398,-3110502.6229808857
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_3_clean_EMG,-986949.4086450362,-3140084.016049058
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_13/filtered_Stance_4_clean_EMG,-1178813.0352398315,-3129097.682005408
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_1_clean_EMG,-2747178.190496698,-2788470.095820668
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_2_clean_EMG,-3473312.4036805835,-2823325.3764793696
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_14/filtered_Stance_3_clean_EMG,-2648005.275096327,-2734101.927394283
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_1_clean_EMG,-1335520.3390833337,-2701821.6867692578
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_2_clean_EMG,-1434546.6338838644,-2748273.5205260306
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_2/filtered_Stance_3_clean_EMG,-1734129.9754868404,-2711657.149000729
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_1_clean_EMG,-2105153.0234118435,-2385684.0280298
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_2_clean_EMG,-1798973.459221228,-2478372.507111756
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_3/filtered_Stance_3_clean_EMG,-1409771.981291669,-2510678.238925702
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_1_clean_EMG,-2797396.710829308,-1867374.5616629894
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_2_clean_EMG,-2674339.813892201,-1828285.2321629287
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_4/filtered_Stance_3_clean_EMG,-2396083.7344204495,-2041684.9490675037
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_1_clean_EMG,-1619360.493693058,-2871386.7361181327
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_2_clean_EMG,-1013627.8130037187,-2898529.785688937
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_5/filtered_Stance_3_clean_EMG,-1068497.1119323007,-2786363.640502319
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_1_clean_EMG,-1774689.9785640405,-2484600.5636361097
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_2_clean_EMG,-1610292.6009561,-2391384.8880732358
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_3_clean_EMG,-2023428.3424741963,-2473330.2891011597
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_4_clean_EMG,-1510688.3055061852,-2481238.877916698
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_6/filtered_Stance_5_clean_EMG,-1511445.9548863757,-2319505.3873671857
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_1_clean_EMG,-2820413.056790442,-1903127.1672792912
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_2_clean_EMG,-2433892.9986913907,-1863645.0849642616
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_3_clean_EMG,-2091424.0377200348,-2139595.709773244
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_7/filtered_Stance_4_clean_EMG,-1576007.9098752362,-1832221.566045209
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_1_clean_EMG,-2174043.276341567,-2973064.4309523017
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_2_clean_EMG,-2233927.4033200857,-2890744.0425058655
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_8/filtered_Stance_3_clean_EMG,-2364283.026856069,-2856944.6464404324
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_1_clean_EMG,-2193859.778610443,-2790886.5915555796
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_2_clean_EMG,-2000530.3266130434,-2733696.766510012
C:/Users/alvar/Desktop/Discrete_validation/out_data/Patient_9/filtered_Stance_3_clean_EMG,-1883052.744680689,-2902468.5887180716
