VaMe,time
-0.4628,0.001
-0.2843,0.002
-0.0488,0.003
0.06,0.004
0.1275,0.005
0.1822,0.006
0.2745,0.007
0.3277,0.008
0.2377,0.009
0.063,0.01
-0.1508,0.011
-0.2123,0.012
-0.1523,0.013
-0.2011,0.014
-0.2348,0.015
-0.1073,0.016
-0.0128,0.017
0.0307,0.018
0.0862,0.019
0.0675,0.02
0.0157,0.021
-0.0181,0.022
-0.0098,0.023
0.0045,0.024
0.0652,0.025
0.0952,0.026
0.0615,0.027
0.0652,0.028
0.039,0.029
0.0397,0.03
0.0397,0.031
0.018,0.032
0.0015,0.033
0.0052,0.034
0.0675,0.035
0.1005,0.036
0.0472,0.037
-0.0735,0.038
-0.1711,0.039
-0.198,0.04
-0.0743,0.041
0.0967,0.042
0.159,0.043
0.2025,0.044
0.2152,0.045
0.174,0.046
0.0787,0.047
-0.0218,0.048
-0.0608,0.049
-0.1411,0.05
-0.24,0.051
-0.312,0.052
-0.3915,0.053
-0.2895,0.054
-0.1028,0.055
-0.057,0.056
0.033,0.057
0.1275,0.058
0.213,0.059
0.2947,0.06
0.2587,0.061
0.2595,0.062
0.2227,0.063
0.1537,0.064
0.042,0.065
-0.2063,0.066
-0.3668,0.067
-0.3008,0.068
-0.195,0.069
-0.1125,0.07
-0.0203,0.071
-0.0585,0.072
-0.003,0.073
0.0742,0.074
0.021,0.075
-0.0195,0.076
-0.0908,0.077
-0.0465,0.078
0.0487,0.079
0.0937,0.08
0.1717,0.081
0.2182,0.082
0.255,0.083
0.2692,0.084
0.2565,0.085
0.2347,0.086
0.1425,0.087
-0.042,0.088
-0.2625,0.089
-0.4073,0.09
-0.393,0.091
-0.1358,0.092
0.1117,0.093
0.1875,0.094
0.2505,0.095
0.2235,0.096
0.1327,0.097
-0.0143,0.098
-0.2723,0.099
-0.5048,0.1
-0.4373,0.101
-0.2213,0.102
-0.1815,0.103
-0.093,0.104
0.0052,0.105
0.0435,0.106
0.132,0.107
0.2145,0.108
0.3112,0.109
0.366,0.11
0.3427,0.111
0.2797,0.112
0.1822,0.113
0.0457,0.114
-0.0863,0.115
-0.2558,0.116
-0.447,0.117
-0.4838,0.118
-0.3855,0.119
-0.225,0.12
-0.0706,0.121
0.0165,0.122
0.0517,0.123
0.0727,0.124
0.0982,0.125
0.1275,0.126
0.1875,0.127
0.231,0.128
0.246,0.129
0.231,0.13
0.2047,0.131
0.1762,0.132
0.0885,0.133
-0.0578,0.134
-0.1973,0.135
-0.156,0.136
-0.0555,0.137
-0.0818,0.138
-0.1313,0.139
-0.1778,0.14
-0.0968,0.141
0.0255,0.142
0.0292,0.143
0.0127,0.144
-0.0285,0.145
-0.0893,0.146
-0.1021,0.147
-0.0465,0.148
0.0255,0.149
0.048,0.15
0.0465,0.151
0.0382,0.152
0.0225,0.153
0.0382,0.154
0.0705,0.155
0.0847,0.156
0.1177,0.157
0.1717,0.158
0.21,0.159
0.2085,0.16
0.1755,0.161
0.1132,0.162
0.018,0.163
-0.0856,0.164
-0.2153,0.165
-0.3308,0.166
-0.3503,0.167
-0.2768,0.168
-0.1748,0.169
-0.0953,0.17
-0.0233,0.171
0.0352,0.172
0.0742,0.173
0.1162,0.174
0.144,0.175
0.1702,0.176
0.1822,0.177
0.1762,0.178
0.1387,0.179
0.0502,0.18
-0.0091,0.181
-0.0256,0.182
-0.0915,0.183
-0.1613,0.184
-0.1103,0.185
-0.0503,0.186
-0.066,0.187
-0.099,0.188
-0.1711,0.189
-0.1958,0.19
-0.1238,0.191
-0.0233,0.192
0.0427,0.193
0.0982,0.194
