VaMe,time
-0.0004583317439829947,0.001
-0.0035793538099396028,0.002
-0.006384997403171958,0.003
-0.008585073951305323,0.004
-0.009950225146318846,0.005
-0.010419501339992225,0.006
-0.010136415385141205,0.007
-0.009383188052358247,0.008
-0.008470176252676513,0.009
-0.007657425777055032,0.01
-0.007125572947547492,0.011
-0.006952685142606521,0.012
-0.00706053746595959,0.013
-0.007155391343772162,0.014
-0.0067262533436265644,0.015
-0.005158375566686381,0.016
-0.0019719974103431116,0.017
0.002897877015323055,0.018
0.008900676055567689,0.019
0.014856123883555712,0.02
0.019197433716014543,0.021
0.020416519548755712,0.022
0.017557923885757422,0.023
0.010613733400260299,0.024
0.0006880436515675384,0.025
-0.010194847493910288,0.026
-0.01963384214056527,0.027
-0.025519256326616297,0.028
-0.026575851154325675,0.029
-0.02266634605677604,0.03
-0.014809260164309257,0.031
-0.004906104685831951,0.032
0.004753560927029639,0.033
0.01207180717749472,0.034
0.0156490129818657,0.035
0.015078334391897926,0.036
0.010968252227093486,0.037
0.004768117135423895,0.038
-0.0015420640808268802,0.039
-0.0059342943640778795,0.04
-0.006929578514134934,0.041
-0.004085966306811884,0.042
0.0018482678733778872,0.043
0.00918057798553596,0.044
0.015805393482365433,0.045
0.0198446039775893,0.046
0.020209361758161168,0.047
0.01690187154940651,0.048
0.010956896750083163,0.049
0.004028356325287947,0.05
-0.002229882929618409,0.051
-0.006704870774296655,0.052
-0.009065130299027812,0.053
-0.009665047717020168,0.054
-0.009211734601780174,0.055
-0.00836057961741367,0.056
-0.0074251494480263415,0.057
-0.006349047516781703,0.058
-0.004925499035958641,0.059
-0.0030698476248450885,0.06
-0.000963254207960771,0.061
0.0009579277873760021,0.062
0.002121293117225704,0.063
0.0020472400654873543,0.064
0.0006189716130940714,0.065
-0.0018087944236932513,0.066
-0.004563348525696207,0.067
-0.006936704372111604,0.068
-0.008397838491605478,0.069
-0.008671150506011773,0.07
-0.007738649756680965,0.071
-0.00580469889767969,0.072
-0.003222571720078249,0.073
-0.00040053093399849044,0.074
